,City,Latitude,Longitude,Humidity,Temp,Cloudiness,Wind Speed,Country
0,busselton,-33.65,115.3333,44.0,66.16,36,10.67,AU
1,lumeje,-11.55,20.7833,98.0,62.62,96,4.07,MU
2,husavik,66.0449,-17.3389,86.0,41.13,53,8.63,AU
3,dhidhdhoo,6.8833,73.1,73.0,83.73,47,6.96,SA
4,punta arenas,-53.15,-70.9167,81.0,46.51,40,12.66,AR
5,coihaique,-45.5752,-72.0662,87.0,40.95,0,2.3,PF
6,qaqortoq,60.7167,-46.0333,90.0,26.4,8,5.19,EC
7,hermanus,-34.4187,19.2345,85.0,55.8,5,12.19,RU
9,dikson,73.5069,80.5464,90.0,8.13,100,15.1,RU
10,geraldton,-28.7667,114.6,60.0,70.21,71,16.11,US
11,muros,42.7762,-9.0603,88.0,53.83,96,6.87,CL
13,pasaje,-3.3333,-79.8167,94.0,74.53,97,0.6,IN
14,butaritari,3.0707,172.7902,75.0,82.2,58,11.45,SO
15,qandala,11.472,49.8728,59.0,85.51,25,3.02,AR
17,hithadhoo,-0.6,73.0833,62.0,83.62,95,6.15,SH
18,marawi,7.9986,124.2928,61.0,81.82,92,5.93,US
19,thompson,55.7435,-97.8558,53.0,21.36,100,4.61,CA
20,saint-philippe,-21.3585,55.7679,81.0,74.53,28,10.29,AR
21,port alfred,-33.5906,26.891,94.0,58.17,92,10.38,US
22,kodiak,57.79,-152.4072,81.0,38.71,100,11.5,ZA
23,vao,-22.6667,167.4833,67.0,77.38,0,6.73,NZ
24,biak,-0.9131,122.8766,89.0,77.05,96,6.08,RU
26,norman wells,65.282,-126.8329,35.0,17.64,20,4.61,SB
27,fayaoue,-20.65,166.5333,61.0,79.83,8,8.57,IT
28,rikitea,-23.1203,-134.9692,67.0,78.76,20,13.91,ZA
29,ribeira grande,38.5167,-28.7,77.0,59.07,4,19.1,NO
31,touros,-5.1989,-35.4608,84.0,78.93,93,6.13,PF
32,albany,42.6001,-73.9662,94.0,36.3,65,4.27,CA
33,bambous virieux,-20.3428,57.7575,88.0,77.25,75,13.8,EC
34,east london,-33.0153,27.9116,77.0,61.48,100,7.0,CV
35,portland,45.5234,-122.6762,72.0,44.26,20,6.91,NO
36,saint george,37.1041,-113.5841,18.0,70.39,0,5.75,NZ
37,georgetown,5.4112,100.3354,70.0,87.35,20,3.44,MU
38,ternate,0.8,127.4,74.0,84.24,67,6.44,PW
39,atuona,-9.8,-139.0333,79.0,78.66,72,15.26,AR
40,puerto ayora,-0.7393,-90.3518,92.0,75.27,72,5.12,MG
41,ushuaia,-54.8,-68.3,81.0,38.86,0,3.44,ID
42,stokmarknes,68.5646,14.9108,100.0,39.18,100,0.0,RU
43,otjimbingwe,-22.35,16.1333,46.0,65.46,78,2.73,GT
44,vaini,-21.2,-175.2,79.0,84.36,75,5.75,AU
45,yellowknife,62.456,-114.3525,52.0,10.92,75,6.91,UY
46,sheregesh,52.9209,87.9869,52.0,56.88,28,2.98,CK
47,rocha,-34.4833,-54.3333,92.0,53.26,0,2.15,US
48,kamen-na-obi,53.7884,81.3423,37.0,56.66,98,8.72,ZA
49,basavakalyan,17.8667,76.95,29.0,91.56,52,10.94,BR
50,seybaplaya,19.65,-90.6667,66.0,81.41,4,14.52,TZ
51,kathu,7.9178,98.3332,69.0,88.7,76,3.65,SE
52,castro,-24.7911,-50.0119,99.0,48.85,9,5.46,PG
54,bethel,41.3712,-73.414,91.0,41.14,100,5.75,ZA
55,nordenham,53.5,8.4833,79.0,37.17,43,6.87,RU
57,sokoni,-6.4333,39.55,81.0,78.66,100,11.63,CL
58,dodge city,37.7528,-100.0171,40.0,48.43,100,16.11,LR
59,talakan,50.3167,130.3667,73.0,37.31,100,10.47,NZ
60,valparaiso,-33.0393,-71.6273,73.0,56.48,0,2.3,SD
61,goderich,43.7501,-81.7165,80.0,30.52,100,16.11,PF
62,avanigadda,16.0215,80.9181,50.0,93.33,36,7.61,JP
63,barreirinha,-2.7933,-57.07,98.0,73.4,100,0.85,MU
64,mataura,-46.1927,168.8643,48.0,53.47,95,2.46,MN
65,kitakata,37.65,139.8667,30.0,60.06,3,2.8,MU
66,cabo san lucas,22.8909,-109.9124,55.0,75.36,100,10.36,SH
67,san cristobal,7.7669,-72.225,96.0,75.38,100,4.59,KI
68,santo domingo,18.5001,-69.9886,86.0,75.2,20,0.0,US
69,torbay,47.6666,-52.7314,71.0,45.37,40,23.02,MY
